type,days_for_shipping_(real),days_for_shipment_(scheduled),benefit_per_order,sales_per_customer,delivery_status,late_delivery_risk,category_id,category_name,customer_city,customer_country,customer_fname,customer_id,customer_lname,customer_segment,customer_state,customer_street,customer_zipcode,department_id,department_name,latitude,longitude,market,order_city,order_country,order_customer_id,order_date,order_id,order_item_cardprod_id,order_item_discount,order_item_discount_rate,order_item_id,order_item_product_price,order_item_profit_ratio,order_item_quantity,sales,order_item_total,order_profit_per_order,order_region,order_state,order_status,product_card_id,product_category_id,product_name,product_price,product_status,shipping_date,shipping_mode,order_year,order_month,order_day,delivery_days,order_weekday
PAYMENT,5,4,33.75999832,92.98999786,Late delivery,1,9,Cardio Equipment,Metairie,EE. UU.,Jean,6756,Smith,Home Office,LA,3915 Broad Lookout,70003.0,3,Footwear,30.0169487,-90.14716339,LATAM,Coyoacán,México,6756,2015-01-22 06:48:00,1459,191,7.0,0.07,3632,99.98999786,0.360000014,1,99.98999786,92.98999786,33.75999832,Central America,Distrito Federal,PENDING_PAYMENT,191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,2015-01-27 06:48:00,Standard Class,2015,January,22,5,Thursday
PAYMENT,4,4,17.14999962,245.0,Shipping on time,0,24,Women's Apparel,Caguas,Puerto Rico,Brian,12223,Baker,Home Office,PR,3663 Thunder Blossom Bank,725.0,5,Golf,18.28222275,-66.37056732,USCA,Springfield,Estados Unidos,12223,2016-04-18 08:37:00,32428,502,5.0,0.02,81094,50.0,0.07,5,250.0,245.0,17.14999962,South of  USA ,Virginia,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2016-04-22 08:37:00,Standard Class,2016,April,18,4,Monday
DEBIT,3,4,20.90999985,331.980011,Advance shipping,0,45,Fishing,Brooklyn,EE. UU.,Benjamin,6953,Smith,Home Office,NY,3307 Dusty Log Court,11226.0,7,Fan Shop,40.64759827,-73.95845795,Europe,Cuxhaven,Alemania,6953,2017-08-19 06:32:00,65852,1004,68.0,0.170000002,164566,399.980011,0.059999999,1,399.980011,331.980011,20.90999985,Western Europe,Baja Sajonia,COMPLETE,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,2017-08-22 06:32:00,Standard Class,2017,August,19,3,Saturday
DEBIT,2,1,36.84000015,78.37999725,Late delivery,1,29,Shop By Sport,Walnut,EE. UU.,Patrick,10601,Mayo,Consumer,CA,6748 Stony Bank,91789.0,5,Golf,33.80669785,-118.0159607,USCA,Louisville,Estados Unidos,10601,2016-08-05 21:57:00,39933,627,1.600000024,0.02,99625,39.99000168,0.469999999,2,79.98000336,78.37999725,36.84000015,South of  USA ,Kentucky,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2016-08-07 21:57:00,First Class,2016,August,5,2,Friday
DEBIT,2,2,121.5100021,391.980011,Shipping on time,0,45,Fishing,Glendale,EE. UU.,Rebecca,2267,Tran,Consumer,AZ,1491 Foggy Glade,85308.0,7,Fan Shop,33.66019821,-112.1931229,Pacific Asia,Jaipur,India,2267,2016-03-05 19:53:00,29446,1004,8.0,0.02,73668,399.980011,0.310000002,1,399.980011,391.980011,121.5100021,South Asia,Rajastán,COMPLETE,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,2016-03-07 19:53:00,Second Class,2016,March,5,2,Saturday
DEBIT,6,4,-73.62999725,47.5,Late delivery,1,24,Women's Apparel,Moreno Valley,EE. UU.,Mary,5585,Wilson,Consumer,CA,6115 Lazy Embers Meadow,92553.0,5,Golf,33.92159271,-117.263176,Europe,Walsall,Reino Unido,5585,2015-07-18 10:35:00,13595,502,2.5,0.050000001,34062,50.0,-1.549999952,1,50.0,47.5,-73.62999725,Northern Europe,Inglaterra,ON_HOLD,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2015-07-24 10:35:00,Standard Class,2015,July,18,6,Saturday
DEBIT,2,1,8.579999924,18.25,Late delivery,1,41,Trade-In,Reseda,EE. UU.,Mary,9746,Brooks,Consumer,CA,7958 Harvest Grove Pike,91335.0,6,Outdoors,34.21543884,-118.5360184,Europe,Celle,Alemania,9746,2015-06-03 23:47:00,10550,917,3.74000001,0.170000002,26418,21.98999977,0.469999999,1,21.98999977,18.25,8.579999924,Western Europe,Baja Sajonia,COMPLETE,917,41,Glove It Women's Mod Oval 3-Zip Carry All Gol,21.98999977,0,2015-06-05 23:47:00,First Class,2015,June,3,2,Wednesday
PAYMENT,3,2,111.5500031,242.5,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Mary,1011,Smith,Corporate,PR,810 Jagged Pointe,725.0,5,Golf,18.29652023,-66.04867554,Pacific Asia,Mumbai,India,1011,2015-12-07 22:38:00,23357,502,7.5,0.029999999,58454,50.0,0.460000008,5,250.0,242.5,111.5500031,South Asia,Maharashtra,PAYMENT_REVIEW,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2015-12-10 22:38:00,Second Class,2015,December,7,3,Monday
CASH,1,0,94.44999695,196.7700043,Late delivery,1,17,Cleats,Mission Viejo,EE. UU.,Jennifer,2027,Mills,Corporate,CA,5618 Wishing Panda Line,92692.0,4,Apparel,33.64875412,-117.6374283,Pacific Asia,Chengdu,China,2027,2016-01-14 12:47:00,25932,365,43.18999863,0.180000007,64913,59.99000168,0.479999989,4,239.9600067,196.7700043,94.44999695,Eastern Asia,Sichuan,CLOSED,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2016-01-15 00:47:00,Same Day,2016,January,14,0,Thursday
PAYMENT,4,4,24.37000084,97.48999786,Shipping on time,0,18,Men's Footwear,Caguas,Puerto Rico,Catherine,11902,Tucker,Corporate,PR,7489 Crystal Treasure Run,725.0,4,Apparel,18.29609489,-66.37055206,LATAM,São Miguel dos Campos,Brasil,11902,2015-05-29 11:42:00,10173,403,32.5,0.25,25430,129.9900055,0.25,1,129.9900055,97.48999786,24.37000084,South America,Alagoas,PENDING_PAYMENT,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2015-06-02 11:42:00,Standard Class,2015,May,29,4,Friday
PAYMENT,1,0,1.190000057,118.7799988,Late delivery,1,17,Cleats,Brooklyn,EE. UU.,Mary,12232,Moore,Corporate,NY,5735 Quaking Cider Highway,11216.0,4,Apparel,40.67913818,-73.94405365,USCA,Fayetteville,Estados Unidos,12232,2016-05-07 21:44:00,33767,365,1.200000048,0.01,84271,59.99000168,0.01,2,119.9800034,118.7799988,1.190000057,South of  USA ,Carolina del Norte,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2016-05-08 09:44:00,Same Day,2016,May,7,0,Saturday
DEBIT,6,4,-50.20999908,167.3699951,Late delivery,1,17,Cleats,Brooklyn,EE. UU.,Ashley,8099,Sosa,Home Office,NY,6750 Noble Pony Village,11234.0,4,Apparel,40.63061905,-73.92346191,Europe,Villefontaine,Francia,8099,2015-07-02 03:56:00,12480,365,12.60000038,0.07,31221,59.99000168,-0.300000012,3,179.9700012,167.3699951,-50.20999908,Western Europe,Auvernia-Ródano-Alpes,COMPLETE,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2015-07-08 03:56:00,Standard Class,2015,July,2,6,Thursday
DEBIT,6,4,15.98999977,37.18999863,Late delivery,1,29,Shop By Sport,Wyandotte,EE. UU.,Juan,6017,Wells,Home Office,MI,3089 Cotton Panda Bend,48192.0,5,Golf,42.20660782,-83.1534729,Europe,Dnipropetrovsk,Ucrania,6017,2016-09-27 22:24:00,43565,627,2.799999952,0.07,108789,39.99000168,0.430000007,1,39.99000168,37.18999863,15.98999977,Eastern Europe,Dnipropetrovsk,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2016-10-03 22:24:00,Standard Class,2016,September,27,6,Tuesday
PAYMENT,6,2,48.04000092,145.5599976,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Mary,2426,Phillips,Home Office,PR,1088 Jagged Hills Nook,725.0,5,Golf,18.23387528,-66.3705368,USCA,Monroe,Estados Unidos,2426,2016-08-08 03:12:00,40085,627,14.39999962,0.090000004,100039,39.99000168,0.330000013,4,159.9600067,145.5599976,48.04000092,South of  USA ,Carolina del Norte,PENDING_PAYMENT,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2016-08-14 03:12:00,Second Class,2016,August,8,6,Monday
DEBIT,3,4,10.35000038,117.5699997,Advance shipping,0,29,Shop By Sport,Caguas,Puerto Rico,Mary,9673,Blair,Corporate,PR,7694 Velvet Turnabout,725.0,5,Golf,18.22789002,-66.37052155,LATAM,Petapa,Guatemala,9673,2017-05-24 13:29:00,59912,627,2.400000095,0.02,149956,39.99000168,0.090000004,3,119.9700012,117.5699997,10.35000038,Central America,Guatemala,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2017-05-27 13:29:00,Standard Class,2017,May,24,3,Wednesday
PAYMENT,5,4,39.90000153,190.0,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Mary,5136,Yoder,Consumer,PR,8688 Broad Shadow Abbey,725.0,5,Golf,18.29705238,-66.37051392,LATAM,Jacobina,Brasil,5136,2015-05-30 12:34:00,10244,502,10.0,0.050000001,25619,50.0,0.209999993,4,200.0,190.0,39.90000153,South America,Bahía,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2015-06-04 12:34:00,Standard Class,2015,May,30,5,Saturday
PAYMENT,2,4,-2178.0,1320.0,Advance shipping,0,64,Computers,Glenview,EE. UU.,Hope,14229,Macdonald,Consumer,IL,141 Dewy Plaza,60025.0,10,Technology,42.06867981,-87.76311493,Europe,Schwerin,Alemania,14229,2017-10-28 16:36:00,70676,1351,180.0,0.119999997,173991,1500.0,-1.649999976,1,1500.0,1320.0,-2178.0,Western Europe,Mecklemburgo-Pomerania Occidental,PENDING_PAYMENT,1351,64,Dell Laptop,1500.0,0,2017-10-30 16:36:00,Standard Class,2017,October,28,2,Saturday
CASH,4,4,16.05999947,94.48999786,Shipping on time,0,9,Cardio Equipment,Caguas,Puerto Rico,Samuel,5337,Stephenson,Home Office,PR,1688 Crystal Leaf Vista,725.0,3,Footwear,18.27215958,-66.37052155,Pacific Asia,Estambul,Turquía,5337,2016-12-18 05:07:00,49133,191,5.5,0.059999999,122854,99.98999786,0.170000002,1,99.98999786,94.48999786,16.05999947,West Asia,Estambul,CLOSED,191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,2016-12-22 05:07:00,Standard Class,2016,December,18,4,Sunday
DEBIT,5,4,35.09999847,116.9899979,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Betty,2381,Smith,Home Office,PR,3656 Silver Cider Byway,725.0,4,Apparel,18.26327515,-66.3705368,Europe,Lowestoft,Reino Unido,2381,2017-07-31 13:02:00,64569,403,13.0,0.100000001,161397,129.9900055,0.300000012,1,129.9900055,116.9899979,35.09999847,Northern Europe,Inglaterra,COMPLETE,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2017-08-05 13:02:00,Standard Class,2017,July,31,5,Monday
TRANSFER,6,4,47.84000015,103.9899979,Late delivery,1,18,Men's Footwear,La Mesa,EE. UU.,Daniel,5845,Bruce,Home Office,CA,6032 Jagged Butterfly Canyon,91941.0,4,Apparel,32.76065064,-117.0166702,LATAM,Puebla,México,5845,2017-05-31 11:12:00,60385,403,26.0,0.200000003,151121,129.9900055,0.460000008,1,129.9900055,103.9899979,47.84000015,Central America,Puebla,PENDING,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2017-06-06 11:12:00,Standard Class,2017,May,31,6,Wednesday
CASH,5,4,84.66000366,176.3699951,Late delivery,1,17,Cleats,Sunnyvale,EE. UU.,Linda,11476,Smith,Home Office,CA,3886 Thunder Hill,94087.0,4,Apparel,37.34466934,-122.0356674,Europe,Toul,Francia,11476,2017-07-09 12:01:00,63059,365,3.599999905,0.02,157660,59.99000168,0.479999989,3,179.9700012,176.3699951,84.66000366,Western Europe,Alsacia-Champaña-Ardenas-Lorena,CLOSED,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2017-07-14 12:01:00,Standard Class,2017,July,9,5,Sunday
PAYMENT,2,1,86.38999939,179.9700012,Late delivery,1,17,Cleats,Caguas,Puerto Rico,Carol,1582,Merritt,Consumer,PR,8663 Crystal Bluff Walk,725.0,4,Apparel,18.2872467,-66.37062073,Pacific Asia,Baguio City,Filipinas,1582,2015-11-24 19:41:00,22458,365,0.0,0.0,56205,59.99000168,0.479999989,3,179.9700012,179.9700012,86.38999939,Southeast Asia,Cordillera,PENDING_PAYMENT,365,17,Perfect Fitness Perfect Rip Deck,59.99000168,0,2015-11-26 19:41:00,First Class,2015,November,24,2,Tuesday
DEBIT,2,4,-16.95000076,103.9899979,Advance shipping,0,18,Men's Footwear,Caguas,Puerto Rico,Katherine,10430,Silva,Corporate,PR,8249 Misty End,725.0,4,Apparel,18.2033329,-66.37055969,LATAM,Ciego de Ávila,Cuba,10430,2017-03-24 05:41:00,55711,403,26.0,0.200000003,139338,129.9900055,-0.159999996,1,129.9900055,103.9899979,-16.95000076,Caribbean,Ciego de Ávila,COMPLETE,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2017-03-26 05:41:00,Standard Class,2017,March,24,2,Friday
DEBIT,6,4,-37.75999832,173.9900055,Late delivery,1,48,Water Sports,Jonesboro,EE. UU.,Sharon,5075,Moore,Consumer,AR,5180 Iron Brook Promenade,72401.0,7,Fan Shop,35.82093811,-90.63085938,LATAM,Coari,Brasil,5075,2015-02-28 05:31:00,3990,1073,26.0,0.129999995,9910,199.9900055,-0.219999999,1,199.9900055,173.9900055,-37.75999832,South America,Amazonas,ON_HOLD,1073,48,Pelican Sunstream 100 Kayak,199.9900055,0,2015-03-06 05:31:00,Standard Class,2015,February,28,6,Saturday
TRANSFER,2,4,21.3199997,106.5899963,Advance shipping,0,18,Men's Footwear,Alameda,EE. UU.,Mary,10681,Hatfield,Consumer,CA,1023 Merry Canyon,94501.0,4,Apparel,37.77148056,-122.2670288,Pacific Asia,Wollongong,Australia,10681,2016-02-20 09:03:00,28456,403,23.39999962,0.180000007,71221,129.9900055,0.200000003,1,129.9900055,106.5899963,21.3199997,Oceania,Nueva Gales del Sur,PENDING,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2016-02-22 09:03:00,Standard Class,2016,February,20,2,Saturday
PAYMENT,3,4,13.60999966,37.5,Advance shipping,0,24,Women's Apparel,Dallas,EE. UU.,Betty,9449,Smith,Home Office,TX,2991 Iron Impasse,75216.0,5,Golf,32.71627045,-96.76869202,LATAM,San Salvador,El Salvador,9449,2017-06-03 15:13:00,60602,502,12.5,0.25,151683,50.0,0.360000014,1,50.0,37.5,13.60999966,Central America,San Salvador,PENDING_PAYMENT,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2017-06-06 15:13:00,Standard Class,2017,June,3,3,Saturday
DEBIT,2,1,38.02000046,116.9899979,Late delivery,1,18,Men's Footwear,Caguas,Puerto Rico,Martha,5226,Cook,Corporate,PR,2729 Broad By-pass,725.0,4,Apparel,18.28942108,-66.37060547,Europe,Edinburgh,Reino Unido,5226,2015-09-23 11:21:00,18187,403,13.0,0.100000001,45467,129.9900055,0.330000013,1,129.9900055,116.9899979,38.02000046,Northern Europe,Escocia,COMPLETE,403,18,Nike Men's CJ Elite 2 TD Football Cleat,129.9900055,0,2015-09-25 11:21:00,First Class,2015,September,23,2,Wednesday
CASH,4,2,121.5899963,319.980011,Late delivery,1,45,Fishing,Quincy,EE. UU.,Mary,1020,Vargas,Consumer,MA,2052 Clear Close,2169.0,7,Fan Shop,42.26028061,-70.99477387,LATAM,Barranquilla,Colombia,1020,2015-04-09 11:46:00,6748,1004,80.0,0.200000003,16869,399.980011,0.379999995,1,399.980011,319.980011,121.5899963,South America,Atlántico,CLOSED,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,2015-04-13 11:46:00,Second Class,2015,April,9,4,Thursday
PAYMENT,2,1,40.5699997,293.980011,Late delivery,1,43,Camping & Hiking,Philadelphia,EE. UU.,Roger,6810,Smith,Consumer,PA,7589 Silent Grove Woods,19104.0,7,Fan Shop,39.95473099,-75.20536804,Pacific Asia,Gujranwala,Pakistán,6810,2016-02-07 14:30:00,27581,957,6.0,0.02,69041,299.980011,0.140000001,1,299.980011,293.980011,40.5699997,South Asia,Punyab,PENDING_PAYMENT,957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,2016-02-09 14:30:00,First Class,2016,February,7,2,Sunday
CASH,2,4,58.77999878,119.9499969,Advance shipping,0,46,Indoor/Outdoor Games,Caguas,Puerto Rico,Mary,10616,Little,Corporate,PR,8786 Cotton Byway,725.0,7,Fan Shop,18.21827698,-66.37052918,LATAM,San Pedro Sula,Honduras,10616,2015-05-23 07:51:00,9751,1014,29.98999977,0.200000003,24350,49.97999954,0.49000001,3,149.9400024,119.9499969,58.77999878,Central America,Cortés,CLOSED,1014,46,O'Brien Men's Neoprene Life Vest,49.97999954,0,2015-05-25 07:51:00,Standard Class,2015,May,23,2,Saturday
DEBIT,4,2,64.0,319.980011,Late delivery,1,45,Fishing,Cary,EE. UU.,Mary,6151,Jones,Consumer,NC,586 Silver Zephyr Pike,27511.0,7,Fan Shop,35.78422928,-78.79259491,LATAM,Cienfuegos,Cuba,6151,2015-05-18 00:41:00,9388,1004,80.0,0.200000003,23423,399.980011,0.200000003,1,399.980011,319.980011,64.0,Caribbean,Cienfuegos,COMPLETE,1004,45,Field & Stream Sportsman 16 Gun Fire Safe,399.980011,0,2015-05-22 00:41:00,Second Class,2015,May,18,4,Monday
PAYMENT,2,1,13.19999981,45.5,Late delivery,1,24,Women's Apparel,Caguas,Puerto Rico,Julia,9421,Lynch,Consumer,PR,8460 Blue Lane,725.0,5,Golf,18.28970528,-66.3705368,Europe,Valence,Francia,9421,2015-08-16 12:07:00,15586,502,4.5,0.090000004,38966,50.0,0.289999992,1,50.0,45.5,13.19999981,Western Europe,Auvernia-Ródano-Alpes,PAYMENT_REVIEW,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2015-08-18 12:07:00,First Class,2015,August,16,2,Sunday
DEBIT,2,1,65.27999878,191.9900055,Late delivery,1,48,Water Sports,Caguas,Puerto Rico,Julia,9720,Berry,Home Office,PR,7947 Sunny Pathway,725.0,7,Fan Shop,18.28323174,-66.37059021,USCA,Salem,Estados Unidos,9720,2016-05-12 17:41:00,34098,1073,8.0,0.039999999,85111,199.9900055,0.340000004,1,199.9900055,191.9900055,65.27999878,West of USA ,Oregón,COMPLETE,1073,48,Pelican Sunstream 100 Kayak,199.9900055,0,2016-05-14 17:41:00,First Class,2016,May,12,2,Thursday
DEBIT,5,4,-31.59000015,145.5599976,Late delivery,1,29,Shop By Sport,Caguas,Puerto Rico,Megan,10331,Collier,Corporate,PR,9274 Foggy Edge,725.0,5,Golf,18.20951653,-66.37060547,Europe,Lviv,Ucrania,10331,2016-09-02 08:57:00,41814,627,14.39999962,0.090000004,104388,39.99000168,-0.219999999,4,159.9600067,145.5599976,-31.59000015,Eastern Europe,Lviv,COMPLETE,627,29,Under Armour Girls' Toddler Spine Surge Runni,39.99000168,0,2016-09-07 08:57:00,Standard Class,2016,September,2,5,Friday
DEBIT,6,4,31.85000038,98.0,Late delivery,1,24,Women's Apparel,Las Vegas,EE. UU.,Betty,99,Munoz,Consumer,NV,9761 Green Jetty,89123.0,5,Golf,36.19867706,115.2630768,LATAM,Querétaro,México,99,2015-04-04 11:36:00,6405,502,2.0,0.02,16033,50.0,0.330000013,2,100.0,98.0,31.85000038,Central America,Querétaro,COMPLETE,502,24,Nike Men's Dri-FIT Victory Golf Polo,50.0,0,2015-04-10 11:36:00,Standard Class,2015,April,4,6,Saturday
TRANSFER,2,4,44.08000183,146.9400024,Advance shipping,0,46,Indoor/Outdoor Games,Brooklyn,EE. UU.,Mary,7762,Roberson,Consumer,NY,9891 Golden Panda Highlands,11209.0,7,Fan Shop,40.61923981,-74.03337097,LATAM,Itapevi,Brasil,7762,2017-02-15 09:04:00,53186,1014,3.0,0.02,132892,49.97999954,0.300000012,3,149.9400024,146.9400024,44.08000183,South America,São Paulo,PROCESSING,1014,46,O'Brien Men's Neoprene Life Vest,49.97999954,0,2017-02-17 09:04:00,Standard Class,2017,February,15,2,Wednesday
TRANSFER,1,0,50.38999939,167.9799957,Shipping canceled,0,9,Cardio Equipment,Caguas,Puerto Rico,Mary,947,Henry,Corporate,PR,4320 Iron Highlands,725.0,3,Footwear,18.24757958,-66.02531433,Africa,Maseru,Lesoto,947,2016-11-09 16:13:00,46493,191,32.0,0.159999996,116241,99.98999786,0.300000012,2,199.9799957,167.9799957,50.38999939,Southern Africa,Maseru,CANCELED,191,9,Nike Men's Free 5.0+ Running Shoe,99.98999786,0,2016-11-10 04:13:00,Same Day,2016,November,9,0,Wednesday
TRANSFER,2,1,133.9100037,278.980011,Late delivery,1,43,Camping & Hiking,Caguas,Puerto Rico,Ryan,2529,Sampson,Consumer,PR,8647 Misty Vista,725.0,7,Fan Shop,18.20679283,-66.3705368,Africa,Mogadishu,Somalia,2529,2017-01-12 11:34:00,50864,957,21.0,0.07,127134,299.980011,0.479999989,1,299.980011,278.980011,133.9100037,East Africa,Benadir,PROCESSING,957,43,Diamondback Women's Serene Classic Comfort Bi,299.980011,0,2017-01-14 11:34:00,First Class,2017,January,12,2,Thursday
